Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
----  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc    poi_nll    poi_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.0100     1.3629    55.5740     1.9506    23.7400     0.1876    97.9800    39.3420
   2     0.0100     1.1291    59.4640     1.7917    36.3000     0.1816    95.2200    29.6390
   3     0.0100     1.0184    63.4520     2.3945    30.1800     0.2078    89.5200    29.4846
   4     0.0100     0.9100    67.2440     1.3920    51.2600     0.1600    95.7200    29.4853
   5     0.0100     0.8208    70.1700     1.2112    55.6200     0.0896    97.4000    29.5650
   6     0.0100     0.7511    72.0000     1.1986    58.9100     0.1331    95.7400    29.4041
   7     0.0100     0.7055    73.6100     0.9896    64.7800     0.0965    96.9800    29.5387
   8     0.0100     0.6736    74.2720     1.1976    58.5200     0.4047    85.2400    29.5132
   9     0.0100     0.6424    75.3800     1.0522    64.5500     0.4757    83.1200    29.4422
  10     0.0100     0.6103    76.4880     1.0959    60.7600     0.1638    93.8800    29.6122
  11     0.0100     0.5845    77.3400     0.8322    71.7200     0.3166    87.0000    29.5950
  12     0.0100     0.5699    77.9500     0.9586    68.3500     0.5064    81.8600    29.3725
  13     0.0100     0.5550    78.0600     0.8025    73.7700     0.4706    84.2000    29.4500
  14     0.0100     0.5272    78.9720     0.9483    68.7300     0.1390    95.1200    29.4879
  15     0.0100     0.5129    79.4260     0.7167    76.3000     0.2707    89.9800    29.5205
  16     0.0100     0.5045    79.7200     0.8850    71.6200     0.0903    96.6800    29.5082
  17     0.0100     0.4822    80.4440     0.8787    72.1500     0.1652    93.9800    29.5038
  18     0.0100     0.4754    80.5000     1.1807    63.1200     0.2435    90.3800    29.5360
  19     0.0100     0.4561    81.5420     0.8218    74.1200     0.1382    94.4400    29.5472
  20     0.0100     0.4448    81.8560     0.7255    76.1100     0.0993    95.9200    29.5360
  21     0.0100     0.4332    81.9860     0.6912    78.0700     0.3501    85.8600    29.5596
  22     0.0100     0.4363    81.6640     1.0811    68.7500     0.0783    96.9400    29.4059
  23     0.0100     0.4114    83.1100     0.8607    74.5500     0.1563    94.4600    29.5788
  24     0.0100     0.4109    82.6240     0.7268    76.9300     0.0353    98.2800    29.5156
  25     0.0100     0.3931    83.3400     0.7112    77.6700     0.1913    92.3400    29.5301
  26     0.0100     0.3868    83.4100     0.7364    76.4400     0.1077    95.9000    29.5765
  27     0.0100     0.3801    83.8560     0.9141    73.6600     0.4663    83.9000    29.3773
  28     0.0100     0.3723    84.0400     0.7203    77.6100     0.0835    96.3800    29.5199
  29     0.0100     0.3770    83.7860     0.7192    78.6900     0.3828    86.1800    29.5349
  30     0.0100     0.3608    84.3040     0.8494    74.0400     0.0453    98.3600    29.6743
  31     0.0100     0.3508    84.6720     0.9325    72.3700     0.0446    98.6000    29.4917
  32     0.0100     0.3461    85.0320     0.7235    78.6700     0.0759    96.4800    29.5688
  33     0.0100     0.3392    85.1640     0.7544    77.3000     0.0432    97.9000    29.4359
  34     0.0100     0.3375    85.0380     0.6979    78.0900     0.0386    98.7200    29.6299
  35     0.0100     0.3275    85.6960     0.8532    75.2800     0.0350    98.3800    29.6639
  36     0.0100     0.3253    85.5180     0.6749    80.4300     0.0812    96.5600    29.5060
  37     0.0100     0.3159    85.9620     0.7894    78.0400     0.1524    92.9000    29.4258
  38     0.0100     0.3177    85.8440     0.6566    81.2100     0.5293    84.8200    29.5018
  39     0.0100     0.3109    86.3000     0.7447    79.7300     0.0762    96.6000    29.5548
  40     0.0100     0.3046    86.4460     0.7231    79.3000     0.1859    92.3000    29.4801
----  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------
