----  ---------  ---------  ---------  ---------
  ep    tr_loss    te_loss     te_acc       time
----  ---------  ---------  ---------  ---------
   0     1.9864     1.0001    67.8989   106.0288
   1     1.1557     0.8346    72.1170   105.9403
   2     1.0148     0.7069    77.1170   106.1826
   3     0.9403     0.6610    77.8191   105.9412
   4     0.8862     0.6456    78.5000   105.9187
   5     0.8381     0.6020    79.9840   105.8057
   6     0.8056     0.5909    80.3936   105.5982
   7     0.7686     0.5565    81.7606   106.0094
   8     0.7417     0.6061    79.4468   106.1003
   9     0.7157     0.5623    80.8936   105.6311
  10     0.6967     0.5161    82.7394   105.9566
  11     0.6839     0.5251    82.5745   106.1242
  12     0.6598     0.5392    81.9362   105.9143
  13     0.6579     0.5238    82.4309   105.9515
  14     0.6397     0.5267    82.6064   106.1881
  15     0.6335     0.5122    83.1968   106.2010
  16     0.6207     0.5058    83.1489   105.9759
  17     0.6111     0.5035    83.5106   106.1301
  18     0.6004     0.5073    83.0691   106.2025
  19     0.5953     0.4967    83.6011   106.4065
  20     0.5937     0.4789    84.2340   106.4119
  21     0.5780     0.4828    84.0372   106.4333
  22     0.5756     0.4834    83.4521   106.0203
  23     0.5677     0.4764    84.0691   105.7271
  24     0.5597     0.4681    84.7074   106.3740
  25     0.5558     0.4609    84.4043   106.9644
  26     0.5495     0.4893    83.8138   106.2830
  27     0.5473     0.4685    84.5213   106.1705
  28     0.5414     0.4752    84.5213   105.9989
  29     0.5352     0.4643    84.2606   106.3302
  30     0.5373     0.4621    84.5585   106.0812
  31     0.5265     0.4412    85.3404   106.2106
  32     0.5233     0.4826    84.0851   106.0774
  33     0.5160     0.4633    84.1915   106.0269
  34     0.5092     0.4615    84.7553   106.3102
  35     0.5087     0.4414    85.1383   106.3528
  36     0.5044     0.4424    85.1064   106.2133
  37     0.5002     0.4421    84.9574   106.1503
  38     0.4980     0.4336    85.1755   106.1860
  39     0.4899     0.4503    84.9734   105.9159
----  ---------  ---------  ---------  ---------
  ep    tr_loss    te_loss     te_acc       time
----  ---------  ---------  ---------  ---------
  40     0.4880     0.4446    84.9840   106.1713
  41     0.4903     0.4426    85.4415   106.3231
  42     0.4826     0.4211    85.6277   106.4599
  43     0.4779     0.4317    85.5691   106.6005
  44     0.4753     0.4355    85.4043   105.9698
  45     0.4680     0.4245    85.7394   106.2324
  46     0.4618     0.4359    85.6596   106.4632
  47     0.4633     0.4172    85.8138   106.8439
  48     0.4556     0.4254    85.8032   106.0692
  49     0.4537     0.4265    85.6702   106.4225
