----  ---------  ---------  ---------  ---------
  ep    tr_loss    te_loss     te_acc       time
----  ---------  ---------  ---------  ---------
   0     1.6670     0.8250    72.9096   428.6077
   1     1.1543     0.7163    76.2926   429.0487
   2     1.0735     0.6901    77.2287   428.2685
   3     1.0305     0.6646    77.8989   429.4400
   4     1.0026     0.5952    80.1968   426.7662
   5     0.9814     0.5755    80.5372   430.6934
   6     0.9622     0.5722    81.2340   434.1048
   7     0.9513     0.5530    81.9787   431.5738
   8     0.9352     0.5551    81.5638   433.2054
   9     0.9231     0.5413    82.1755   431.2467
  10     0.9205     0.5351    81.7660   430.2655
  11     0.9083     0.5435    81.6489   430.0412
  12     0.9017     0.5347    82.1277   432.2914
  13     0.8959     0.5256    82.6489   432.7703
  14     0.8891     0.5092    82.7926   432.8326
  15     0.8888     0.5268    82.4734   432.7912
  16     0.8803     0.5184    82.9521   430.8285
  17     0.8756     0.5473    81.3511   430.1175
  18     0.8714     0.5117    82.7394   432.1446
  19     0.8648     0.5383    82.5160   431.6668
  20     0.8674     0.5206    82.3989   434.2081
  21     0.8632     0.5115    83.2979   433.0398
  22     0.8629     0.5219    82.5479   433.0622
  23     0.8585     0.5459    81.4202   431.6357
  24     0.8566     0.5200    82.3138   431.4160
  25     0.8500     0.5285    82.4096   432.2113
  26     0.8442     0.4919    83.5213   434.3586
  27     0.8489     0.5069    82.9840   431.7871
  28     0.8422     0.5061    83.0904   433.2878
  29     0.8415     0.4854    83.2128   434.4626
  30     0.8376     0.5354    82.7128   427.5979
  31     0.8389     0.5397    81.6862   423.7907
  32     0.8327     0.5527    81.5957   423.6281
  33     0.8341     0.5001    82.9362   427.1915
  34     0.8291     0.4872    83.5638   431.8409
  35     0.8283     0.4882    83.4894   432.2529
  36     0.8254     0.5173    83.0957   430.8551
  37     0.8251     0.4885    83.4734   432.0142
  38     0.8179     0.4758    84.2660   432.9213
  39     0.8150     0.4828    83.9468   432.6106
----  ---------  ---------  ---------  ---------
  ep    tr_loss    te_loss     te_acc       time
----  ---------  ---------  ---------  ---------
  40     0.8146     0.5030    83.3883   430.9512
  41     0.8160     0.5077    83.0479   430.8244
  42     0.8114     0.4689    84.2553   431.9761
  43     0.8099     0.4802    84.0266   429.1375
  44     0.8074     0.4663    84.5000   426.7140
  45     0.8085     0.5157    82.8670   424.8023
  46     0.8070     0.4897    82.8670   427.8116
  47     0.8045     0.4750    84.2713   425.8040
  48     0.7977     0.5036    82.9415   427.1092
  49     0.8017     0.4868    83.6064   430.0545
  50     0.7935     0.5075    83.4894   431.3637
  51     0.7943     0.4764    83.6223   428.4203
  52     0.7908     0.5262    82.1170   429.3518
  53     0.7906     0.4730    83.9043   431.0499
  54     0.7874     0.5301    82.3617   430.5428
  55     0.7830     0.4836    83.4043   429.8038
  56     0.7802     0.4789    83.6436   427.7380
  57     0.7788     0.4726    84.0319   425.9087
  58     0.7786     0.5012    82.4840   426.1515
  59     0.7757     0.4914    83.9362   427.7439
  60     0.7745     0.4732    84.2340   428.4316
  61     0.7727     0.4730    83.6809   428.0025
  62     0.7715     0.4797    83.5691   431.8519
  63     0.7692     0.4765    83.8298   429.8239
  64     0.7642     0.4626    84.2553   428.7169
  65     0.7613     0.4630    84.2660   427.6930
  66     0.7588     0.4811    83.7128   429.7249
  67     0.7557     0.4483    84.7181   429.7257
  68     0.7527     0.4692    84.2447   426.0971
  69     0.7522     0.4638    84.4309   426.4818
  70     0.7500     0.4693    83.8670   425.3944
  71     0.7464     0.4408    84.8245   425.7282
  72     0.7436     0.4736    84.3351   426.9707
  73     0.7414     0.4540    84.6330   422.1352
  74     0.7385     0.4555    84.5053   422.3865
  75     0.7395     0.4607    85.0426   425.5733
  76     0.7345     0.4725    83.7181   423.8943
  77     0.7321     0.4349    85.7181   423.7408
  78     0.7273     0.4449    85.1915   424.3144
  79     0.7272     0.4469    85.0585   424.0813
----  ---------  ---------  ---------  ---------
  ep    tr_loss    te_loss     te_acc       time
----  ---------  ---------  ---------  ---------
  80     0.7221     0.4532    84.8298   423.3159
  81     0.7197     0.4608    84.3989   424.9573
  82     0.7172     0.4450    84.8298   426.6549
  83     0.7169     0.4434    85.1755   421.0816
  84     0.7115     0.4386    85.0479   421.7969
  85     0.7067     0.4600    84.7819   425.0650
  86     0.7073     0.4339    84.8617   426.9294
  87     0.7019     0.4493    85.0319   425.9687
  88     0.7000     0.4556    84.7074   421.2442
  89     0.6970     0.4374    84.9574   422.7139
  90     0.6915     0.4215    85.8245   426.9826
  91     0.6878     0.4305    85.5532   426.2462
  92     0.6873     0.4256    85.3511   424.2712
  93     0.6835     0.4443    85.4947   420.8808
  94     0.6788     0.4109    86.4255   418.6316
  95     0.6746     0.4251    85.5266   417.5118
  96     0.6715     0.4135    86.2340   420.3493
  97     0.6670     0.4273    85.7926   419.8500
  98     0.6653     0.4203    85.6277   419.6661
  99     0.6604     0.4109    85.8617   420.5148
